id,questions
0,What is the step by step guide to invest in share market in india?
1,What is the story of Kohinoor (Koh-i-Noor) Diamond?
2,How can I increase the speed of my internet connection while using a VPN?
3,Why am I mentally very lonely? How can I solve it?
4,"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?"
5,Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?
6,Should I buy tiago?
7,How can I be a good geologist?
8,When do you use シ instead of し?
9,Motorola (company): Can I hack my Charter Motorolla DCX3400?
10,Method to find separation of slits using fresnel biprism?
11,How do I read and find my YouTube comments?
12,What can make Physics easy to learn?
13,What was your first sexual experience like?
14,"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?"
15,What would a Trump presidency mean for current international master’s students on an F1 visa?
16,What does manipulation mean?
17,Why do girls want to be friends with the guy they reject?
18,Why are so many Quora users posting questions that are readily answered on Google?
19,Which is the best digital marketing institution in banglore?
20,Why do rockets look white?
21,What's causing someone to be jealous?
22,What are the questions should not ask on Quora?
23,How much is 30 kV in HP?
24,What does it mean that every time I look at the clock the numbers are the same?
25,What are some tips on making it through the job interview process at Medicines?
26,What is web application?
27,Does society place too much importance on sports?
28,What is best way to make money online?
29,How should I prepare for CA final law?
30,What's one thing you would like to do better?
31,What are some special cares for someone with a nose that gets stuffy during the night?
32,What Game of Thrones villain would be the most likely to give you mercy?
33,"Does the United States government still blacklist (employment, etc.) some United States citizens because their political views?"
34,What is the best travel website in spain?
35,Why do some people think Obama will try to take their guns away?
36,I'm a 19-year-old. How can I improve my skills or what should I do to become an entrepreneur in the next few years?
37,"When a girlfriend asks her boyfriend ""Why did you choose me? What makes you want to be with me?"", what should one reply to her?"
38,How do we prepare for UPSC?
39,What is the stall speed and AOA of an f-14 with wings fully swept back?
40,Why do Slavs squat?
41,When can I expect my Cognizant confirmation mail?
42,"Can I make 50,000 a month by day trading?"
43,Is being a good kid and not being a rebel worth it in the long run?
44,What universities does Rexnord recruit new grads from? What majors are they looking for?
45,What is the quickest way to increase Instagram followers?
46,How did Darth Vader fought Darth Maul in Star Wars Legends?
47,"What are the stages of breaking up between couple? I mean, what happens after the breaking up emotionally whether its a male or female?"
48,What are some examples of products that can be make from crude oil?
49,How do I make friends.
50,Is Career Launcher good for RBI Grade B preparation?
51,"Will a Blu Ray play on a regular DVD player? If so, how?"
52,Nd she is always sad?
53,What is the best/most memorable thing you've ever eaten and why?
54,How GST affects the CAs and tax officers?
55,How difficult is it get into RSI?
56,Who is israil friend?
57,What are some good rap songs to dance to?
58,I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?
59,What are the best ways to learn French?
60,How do I download content from a kickass torrent without registration?
61,Is it normal to have a dark ring around the iris of my eye?
62,How is the new Harry Potter book 'Harry Potter and the Cursed Child'?
63,Why do I always get depressed?
64,Where can I find a European family office database?
65,What is Java programming? How To Learn Java Programming Language ?
66,What is the best book ever made?
67,Can we ever store energy produced in lightning?
68,What is your review of Performance Testing?
69,At what cost does so much privacy as in Germany come? What else is lost to gain so much privacy?
70,What are the types of immunity?
71,What is a narcissistic personality disorder?
72,How I can speak English fluently?
73,How helpful is QuickBooks' auto data recovery support phone number to recover your corrupted data files?
74,Who is the richest gambler of all time and how can I reach his level?
75,If I fire a bullet backward from an aircraft going faster than the bullet
76,How do I prevent breast cancer?
77,How do I log out of my Gmail account on my friend's phone?
78,How can I make money through the Internet?
79,What is purpose of life?
80,When will the BJP government strip all the Muslims and the Christians of the Indian citizenship and put them on boats like the Rohingya's of Burma?
81,What is the right etiquette for wishing a Jehovah Witness happy birthday?
82,"If someone wants to open a commercial FM radio station in any city of India, how much does it cost and what is the procedure?"
83,Why do Swiss despise Asians?
84,What are some of the high salary income jobs in the field of biotechnology?
85,How can I increase my height after 21 also?
86,"What were the major effects of the cambodia earthquake, and how do these effects compare to the Kamchatca earthquakes in 1952?"
87,What is the difference between sincerity and fairness?
88,Which is the best gaming laptop under 60k INR?
89,What is your review of The Next Warrior: Proving Grounds - Part 9?
90,What is the best reference book for physics class 11th?
91,"National Institute of Technology, Kurukshetra: How is the social life at NITK, Surathkal?"
92,What are some of the best romantic movies in English?
93,What causes a nightmare?
94,What is abstract expressionism in painting?
95,How does 3D printing work?
96,What was it like to attend Caltech with Jeremy Ehrhardt?
97,Why did harry become a horcrux?
98,What are the best associate product manager (APM) programs that someone in their early 20s can join to learn product management and have a rewarding career in the company?
99,Why is the number for Skype at 1-855-425-3768 always busy?
100,Will there really be any war between India and Pakistan over the Uri attack? What will be its effects?
101,Did Ronald Reagan have a mannerism in his speech?
102,What were the war strategies of the Union and the Confederates during the Civil War?
103,Which is the best fiction novel of 2016?
104,Can I recover my email if I forgot the password?
105,Will the recent demonetisation results in higher GDP? If so how much?
106,Have you ever heard of travel hacking?
107,What's the difference between love and pity?
108,How competitive is the hiring process at Republic Bank?
109,How Google helps in spam ranking adjustment of the search results?
110,Where can I watch gonulcelen with english subtitles?
111,Is USA the most powerful country of the world?
112,How do you obtain an instant ulcer pain relief?
113,What do you think China food?
114,What does taking advantage of someone mean?
115,Why do we cry when we are happy and when we are sad?
116,Why do some girls like to stick their their tongues out when taking pictures?
117,"Did you find the ending of the novel ""1984"" depressing?"
118,What are some mind-blowing computer tools that exist that most people don't know about?
119,Should the toothbrush be wet or dry before applying the toothpaste?
120,Why my question was marked as needing imrovement?
121,What is the difference between a neutral state and a buffer state?
122,What mineral holds the highest electrical charge?
123,What is the greatest mystery in the universe?
124,What is the alternative to machine learning?
125,"Why does China block sanctions at the UN against the Jaish-e-Mohammad (JeM) chief, Masood Azhar?"
126,What is the mean of future budget?
127,Can excessive amounts of Vitamin C cause me to have a miscarriage?
128,What is it like to work in Asahi India Glass? What will be the pay scale after one or two years?
129,How do I access Torbox in India?
130,What are some yakshini mantras?
131,Was six party talks successful?
132,How do I register my domain site email?
133,Is it normal for older men to be attracted to young women?
134,What is the strongest structure or strongest shape under compression?
135,Who are the Rohingya Muslims?
136,Does it matter whether humans are selfish or evil?
137,Are exocytosis and endocytosis examples of active or passive transport?
138,How i get hair on bald head?
139,What is the ideal life after retirement?
140,What is our stance against Pakistan?
141,What are good websites for escorts?
142,Which one is better polo diesel or grand i10 petrol?
143,Does a black hole have mass?
144,"Is Morgan Freeman correct when he says the only way to stop racism, is to stop talking about it?"
145,Does Fab currently offer new employees stock options or RSUs?
146,How would you review the site Waveclues?
147,In how many ways can we distribute 10 identical looking pencils to 4 students so that each student gets at least one pencil?
148,How much would it cost to hire Jerry Seinfeld for 1-2 hours?
149,Is 7 days too late for rabies vaccine after a possible non-bite exposure?
150,How many years Britain ruled India?
151,How can I stop being afraid of working?
152,Why does Red keep the keys in OITNB?
153,At what age should someone lose their virginity?
154,How forgetful are you?
155,Could Snoke secretly be Darth Maul?
156,"If I do not monetize YouTube videos & upload copyright content, then are there chances that Google may block my account?"
157,Would you switch from Canon 6D to Leica D-LUX 109?
158,What does the Quora website look like to members of Quora moderation?
159,Why nobody answer my questions in Quora?
160,What is the funniest joke you know?
161,"I got job offer @ Chelmsford-Essex, London with £3764 PM pay-after tax deduction. Pls advice tentative monthly expenses for couple? & saving possible?"
162,What are stereotypes about the United Kingdom?
163,How do I use Twitter as a business source?
164,How can I transfer money from Skrill to a PayPal account?
165,Which is the best earphone with deep bass under 1000?
166,Are government employees eligible to Sukanya Samrudi Yojana?
167,Which is correct - 'Looking forward to speak with you' or 'Look forward to speak with you'?
168,Which are the best engineering fields?
169,How do you make life suit you and stop life from abusing you mentally and emotionally?
170,What is the difference between gross salary and CTC?
171,Which are the prospering towns in Kerala?
172,What is the best way to gain confidence?
173,Does anyone see the relation between Greek gods and Hindu gods?
174,How do I switch from Apple Music to Spotify?
175,Which is the best fixed income fund?
176,What is it like to live in Cologne?
177,"Between Robert De Niro and Al Pacino, who is more successful?"
178,Why does some people prefer small families.?
179,Do animals kiss?
180,How do you get deleted Instagram chats?
181,How can I stop being addicted to love?
182,What if I hired two private eyes and ordered them to follow each other?
183,How do I find a startup accelerator?
184,How can I check wifi history and access it through android phones?
185,"What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Rostov?"
186,What is the most creative college admissions essay you've read?
187,"What would happen if you cover one of your eyes with an eye patch for one year, then take the patch off?"
188,Is it possible to pursue many different things in life?
189,Did Ben Affleck shine more than Christian Bale as Batman?
190,Which business is good start up in Hyderabad?
191,How can I stop being so possessive?
192,Who was the wife of Lord Krishna?
193,What is the best combination of courses I can take up along with CA to enhance my career?
194,How do you take a screenshot on a Mac laptop?
195,What is the work of an executive recruiter like?
196,Which psychological need does 'collecting' fulfill?
197,What are some must watch TV shows before you die?
198,How can I become more fluent in Chinese?
199,What are the effects of demonitization of 500 and 1000 rupees notes on real estate sector?
200,What is the easiest way to become a billionaire($)?
201,Are there People who are willing to give free lectures or conduct free workshop in India colleges?
202,What's the best way to start learning robotics?
203,Why do people hate Hillary Clinton?
204,Why are women who are on their periods are regarded as 'unclean' such that they are prevented in taking an actived part in rituals (Hinduism)?
205,"If atheism is the lack of belief in gods, what is the term for the belief that there is no god?"
206,What is it like to be Jack Dorsey?
207,What are the best quotes/lessons of the Assassin's Creed series?
208,"Do inkjet printers use color ink when printing black and white documents? If so, why?"
209,Why is creativity important?
210,If Hillary Clinton could not continue her Presidential campaign how would the Democratic Party choose a new candidate?
211,How headphones work as an Antenna to play FM radio channels on Mobile phones? Why mobile companies doesn't install the same inbuilt Antenna on phones to be able to play FM without the headphones?
212,What are the best career growth technologies for automation engineers apart from automation tools?
213,What are the disadvantages of listing a company in NSE?
214,How many derivatives of an object's position with respect to time have to be continuous?
215,Is the neutron star made up of?
216,I got a 3.8 GPA. Is it enough to get into top universities like Harvard?
217,What is a profitable way to trade binary options?
218,How do I utilize free time to avoid depression?
219,How can I learn computer security?
220,How do I earn from Quora?
221,What is my puk code?
222,How can I find job in Japan?
223,"What are some examples of sentences using the word ""hysteria""?"
224,Will there be another billion dollar lottery Jackpot?
225,How scary is it to drive on the road to Hana given all of the turns?
226,How do I create a new shell in a new terminal using C programming (Linux terminal)?
227,Does cognition affect perception?
228,How TQWL is different from CKWL (Tatkal waiting list)?
229,How can we make the world a better place to live in for the future generations?
230,How many Champions are there in League of Legends?
231,Is drinking 4 liters of water each day unhealthy?
232,"Where does the water from the Great Lakes come from, and how does these lakes wildlife compare to Lake Prespa?"
233,Do porn stars watch porn?
234,"Trump supporters, how do you feel about the way he's walking back his promises?"
235,Why are we worried about others' opinions?
236,How do you potty train a 4 months Pitbull?
237,"If I jump rope for five minutes, how many calories will I use?"
238,Which online test series is best for GATE 2017 in CS stream?
239,What is the best material for understanding algorithmic analysis by a newbie?
240,What is the temperament of a Bullmastiff/Husky mix?
241,"There are 8 balls. 7 of them weigh the same. 1 of them has a different weight, (you don't know if it's heavier or lighter). How do you find the odd ball with 2 weighs?"
242,"In the play ""A Raisin in the Sun"", why do Walter ad Beneatha argue?"
243,What are the signs of an ultra smart person playing dumb?
244,If dark energy is created with expansion can infinite of it be created?
245,How do you get a book published?
246,Who is disrupting Bloomberg?
247,Why can flash run so fast?
248,"What is the best way to invest $500 legally so that I can get tangible profits over a relatively short period of time, say 6 months?"
249,How will the implementation of GST bill impact the lives of common people?
250,How can you recover your Gmail password?
251,How accurately can a mental illness can be diagnosed?
252,Is knee pain in a 20 year old girl normal?
253,What are the qualities of a good leader?
254,"What is the difference between bay, gulf and straits?"
255,Will Modi win in 2019?
256,How can I open DMart store in India? Is there any franchise for that?
257,What are the best YouTube channels to learn medicine?
258,Did Swami Vivekananda ever eat non-veg or egg during his journey around the world?
259,What will happen if I cancel TQWL tickets before the charting is done?
260,"What exactly is the ""Common Core Initiative/Standards"" and what are the pros and cons?"
261,How do I choose a journal to publish my paper?
262,What are your New Year's resolutions for 2017?
263,What do you do if you had a bad dream?
264,Why do Slavs squat?
265,How many marks should I score for AIIMS rank 151?
266,"In an operating room, when two surgeons of equal experience disagree on a surgical procedure, how is the tie broken?"
267,How many months does it take to gain knowledge in developing Android apps from scratch?
268,How do I love my body as a guy?
269,What are the rights of a prisoner?
270,How can I get free gems in Clash of Clans?
271,Why aren't there more apps like Word Lens?
272,My ex-girlfriend is suffering from malaria. I have a deep urge of visiting her but I have my placements on. I have no idea how to be with her. What should I do?
273,What is the best way to get traffic on your website?
274,How do you feel when someone upvotes your answer on Quora?
275,What are some of the best films and TV shows that feature strong female protagonists?
276,How far would you go for love? Should I wait for the one I love ir move on?
277,How do most people die?
278,Why are most clothes made of polyester now instead of cotton?
279,What is in bone marrow?
280,Were there any slave with the name Reddice?
281,How long does it take for a dead body to float to the surface after drowning ?
282,How do I get over a friend with whom I haven't talked in 3 years but still miss him?
283,When travelling to a new region is it better to immerse yourself in 1–2 cities or to see as many cities as you can cram in?
284,How can I make money online with free of cost?
285,Where can I buy best quality customized cupcakes in Gold Coast?
286,How successful was odd even plan?
287,If there will be a war between India and Pakistan who will win?
288,How do you deal with a fear of dying?
289,What would be the estimated cost of repairing the cracked screen of iphone 6?
290,What are the most interesting products and innovations that McDonald's is coming out with in 2016?
291,"Is there an end to the universe, and if not, is the universe infinite?"
292,What is CPAGrip.com?
293,How much funds should I raise?
294,What Anna Hazare think about PM Modi?
295,What will be the effect of banning 500 and 1000 notes on stock markets in India?
296,How does concentric contractions differ from eccentric contractions?
297,Why did the puppet they used for Yoda in Episode I suck so bad?
298,On what online platforms can I post ads for beer money opportunity?
299,What the meaning of this all life?
300,How should I start small business effectively?
301,How can we acquire a positive morality?
302,Do you need friends?
303,Do I exist?
304,Which are the best Hollywood thriller movies?
